14-01-2022 16:24:17 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):833
14-01-2022 16:24:39 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):840
14-01-2022 16:25:06 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):9037
14-01-2022 16:56:30 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):858
14-01-2022 19:51:34 || 192.168.8.122 || DESKTOP-N8HTC6P || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 || Wynik(ms):14674
14-01-2022 20:10:26 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):835
14-01-2022 20:12:52 || 192.168.8.122 || 192.168.8.122 || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 || Wynik(ms):14686
14-01-2022 20:42:35 || 192.168.8.122 || 192.168.8.122 || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 || Wynik(ms):11464
14-01-2022 21:01:13 || 192.168.8.122 || 192.168.8.122 || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):11435
15-01-2022 12:49:17 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):830
